Year,Industry,Value
2011,A,421.7
2012,A,628.2
2013,A,758.9
2014,A,694.2
2015,A,753.9
2016,A,609.9
2017,A,635
2018,A,570.3
2019,A,541.1
2020,A,566
2021,A,550
2011,B,73.5
2012,B,80.8
2013,B,87.9
2014,B,84.7
2015,B,104.4
2016,B,96.3
2017,B,97.2
2018,B,90.8
2019,B,91
2020,B,82.2
2021,B,81.9
2011,C,244
2012,C,263.7
2013,C,315.8
2014,C,372.5
2015,C,322.7
2016,C,390.6
2017,C,513.3
2018,C,499.9
2019,C,681.5
2020,C,498
2021,C,501.4
2011,D,51
2012,D,61.9
2013,D,61.5
2014,D,65.6
2015,D,61.7
2016,D,77.9
2017,D,62.2
2018,D,68.8
2019,D,71.4
2020,D,76.4
2021,D,77.7
2011,E,71.9
2012,E,81
2013,E,83.7
2014,E,81.2
2015,E,72.1
2016,E,76.4
2017,E,81
2018,E,88.6
2019,E,88.8
2020,E,83.7
2021,E,85.5
2011,F,151.5
2012,F,174.7
2013,F,292.1
2014,F,277.7
2015,F,309.9
2016,F,251.7
2017,F,258.9
2018,F,257.8
2019,F,276.4
2020,F,173.4
2021,F,159.6
2011,G,5.4
2012,G,125.6
2013,G,261.4
2014,G,324.4
2015,G,361.4
2016,G,428.5
2017,G,485.4
2018,G,544.6
2019,G,594.5
2020,G,765.6
2021,G,826.5
2011,H,604
2012,H,624.3
2013,H,626.5
2014,H,598.2
2015,H,615
2016,H,630.4
2017,H,658.2
2018,H,697.9
2019,H,667.6
2020,H,689.2
2021,H,704.5
2011,I,951.1
2012,I,965.1
2013,I,41.5
2014,I,149.3
2015,I,150.8
2016,I,260.7
2017,I,323.2
2018,I,473.4
2019,I,549.7
2020,I,540
2021,I,535.5
2011,J,206.5
2012,J,208.8
2013,J,194.1
2014,J,213.2
2015,J,214.2
2016,J,208.7
2017,J,220.3
2018,J,216.4
2019,J,213.9
2020,J,223.4
2021,J,235.1
2011,K,319.3
2012,K,322.1
2013,K,318.9
2014,K,329.1
2015,K,354.4
2016,K,346.9
2017,K,369
2018,K,338.6
2019,K,335.1
2020,K,372.1
2021,K,386.5
2011,L,61.2
2012,L,68.9
2013,L,72.7
2014,L,79.7
2015,L,71.2
2016,L,82.4
2017,L,84.5
2018,L,97.2
2019,L,92.1
2020,L,82.1
2021,L,83.4
