Year,State,Labour force,Employed,Unemployed,Outside labour force,Labour force participation rate,Unemployment_rate,longitude,latitude
2011,Johor,499.9,461.9,38,816.3,64.8,2.5,103.413,2.041
2012,Johor,529.4,481.5,47.9,821.9,65,3.1,103.413,2.041
2013,Johor,598.9,553.4,45.4,771.3,67.5,2.8,103.413,2.041
2014,Johor,621.1,579.7,41.4,778.8,67.5,2.6,103.413,2.041
2015,Johor,633.2,582.6,50.6,799.9,67.1,3.1,103.413,2.041
2016,Johor,639.1,580.6,58.5,820.7,66.6,3.6,103.413,2.041
2017,Johor,673.8,616.7,57.1,824.4,67,3.4,103.413,2.041
2018,Johor,745.1,693.3,51.9,788.2,68.9,3,103.413,2.041
2019,Johor,805.7,756.1,49.6,761.6,70.3,2.7,103.413,2.041
2020,Johor,840.6,775.6,65,772.2,70.4,3.5,103.413,2.041
2021,Johor,835,764.7,70.3,786.8,70,3.8,103.413,2.041
2011,Kedah,770,743.4,26.6,512,60.1,3.5,103.413,2.041
2012,Kedah,810.3,786.9,23.4,502,61.7,2.9,103.413,2.041
2013,Kedah,862.8,842.3,20.5,489.9,63.8,2.4,103.413,2.041
2014,Kedah,884.1,859.8,24.3,493.5,64.2,2.7,103.413,2.041
2015,Kedah,905.3,881.6,23.7,496.5,64.6,2.6,103.413,2.041
2016,Kedah,910.9,884.3,26.6,508.4,64.2,2.9,103.413,2.041
2017,Kedah,932.7,906.3,26.5,508.2,64.7,2.8,103.413,2.041
2018,Kedah,936.7,909.2,27.5,538.9,63.5,2.9,103.413,2.041
2019,Kedah,950,923.6,26.3,551.3,63.3,2.8,103.413,2.041
2020,Kedah,954.5,914.7,39.9,559.9,63,4.2,103.413,2.041
2021,Kedah,972.6,934.2,38.4,568.4,63.1,3.9,103.413,2.041
2011,Kelantan,555.4,544.6,10.8,431.7,56.3,2,103.413,2.041
2012,Kelantan,592.3,578.7,13.6,424.8,58.2,2.3,103.413,2.041
2013,Kelantan,619.8,602.7,17.1,424.8,59.3,2.8,103.413,2.041
2014,Kelantan,646.2,625.2,21,425.2,60.3,3.3,103.413,2.041
2015,Kelantan,676.2,652.1,24.1,415.3,61.9,3.6,103.413,2.041
2016,Kelantan,657.8,632.9,24.9,454.8,59.1,3.8,103.413,2.041
2017,Kelantan,701,676,25,446.2,61.1,3.6,103.413,2.041
2018,Kelantan,712,683.3,28.6,465.6,60.5,4,103.413,2.041
2019,Kelantan,710.5,682.4,28.1,495.4,58.9,4,103.413,2.041
2020,Kelantan,711.2,680.8,30.4,516.1,57.9,4.3,103.413,2.041
2021,Kelantan,719.8,689.6,30.2,535.9,57.3,4.2,103.413,2.041
2011,Melaka,343.3,340.8,2.5,222.8,60.6,0.7,103.413,2.041
2012,Melaka,358.8,357,1.8,218.6,62.1,0.5,103.413,2.041
2013,Melaka,378.3,375.5,2.7,208.3,64.5,0.7,103.413,2.041
2014,Melaka,398.3,394.9,3.4,197.2,66.9,0.9,103.413,2.041
2015,Melaka,402.4,398.3,4.1,201.6,66.6,1,103.413,2.041
2016,Melaka,400.8,397.3,3.5,211.9,65.4,0.9,103.413,2.041
2017,Melaka,410.3,406.3,4,215.4,65.6,1,103.413,2.041
2018,Melaka,421.2,416.7,4.4,211.3,66.6,1.1,103.413,2.041
2019,Melaka,432.9,428.3,4.6,207.6,67.6,1.1,103.413,2.041
2020,Melaka,426.8,417.3,9.4,218.3,66.2,2.2,103.413,2.041
