Year,Labour force,Employed,Unemployed,Outside labour force,Labour force participation rate,Unemployment_rate
2011,12740.7,12351.5,389.2,7023.3,64.5,3.1
2012,13221.7,12820.5,401.2,6927.4,65.6,3
2013,13980.5,13545.4,435.1,6781.2,67.3,3.1
2014,14263.6,13852.6,411.1,6821,67.6,2.9
2015,14518,14067.7,450.3,6869.9,67.9,3.1
2016,14667.8,14163.7,504.1,6987.6,67.7,3.4
2017,14980.1,14476.8,503.3,7065,68,3.4
2018,15280.3,14776,504.3,7094.4,68.3,3.3
2019,15581.6,15073.4,508.2,7103.5,68.7,3.3
2020,15667.7,14956.7,711,7225.5,68.4,4.5
2021,15797.2,15064.2,733,7221.4,68.6,4.6
